Loci	Mean_rho	Median	L95	U95
     0	2115.82432	2237.71223	 397.95066	2378.29918
     1	   1.22432	   1.48388	   0.02107	   2.04185
     2	   1.27963	   1.48388	   0.03526	   2.04185
     3	   1.19700	   1.48388	   0.00329	   2.04185
     4	   1.20850	   1.48388	   0.00955	   2.04185
     5	   1.31741	   1.48663	   0.05487	   2.04185
     6	   1.29004	   1.48388	   0.02053	   2.04185
     7	   1.19957	   1.48388	   0.01293	   2.04185
     8	   1.20406	   1.48388	   0.00957	   2.04185
     9	   1.31467	   1.48663	   0.07114	   2.04185
    10	   1.30049	   1.48388	   0.06858	   2.04185
    11	   1.28943	   1.48388	   0.16917	   2.04185
    12	   1.31826	   1.48847	   0.03630	   2.12280
    13	   1.30314	   1.48388	   0.18926	   2.04185
    14	   1.44152	   1.52022	   0.03079	   2.42739
    15	   1.57808	   1.62592	   0.18276	   2.04718
    16	   1.26026	   1.48388	   0.05067	   2.04185
    17	   1.31427	   1.48388	   0.06283	   2.04185
    18	   1.44654	   1.52345	   0.15054	   2.31379
    19	   1.22546	   1.48388	   0.02397	   2.04185
    20	   1.34898	   1.48388	   0.03280	   2.04185
    21	   1.22583	   1.48388	   0.00804	   2.04185
    22	   1.20865	   1.48388	   0.02233	   2.04185
    23	   1.51806	   1.59329	   0.13142	   2.32228
    24	   1.32732	   1.48425	   0.03725	   2.04185
    25	   1.30491	   1.48388	   0.03874	   2.04185
    26	   1.34374	   1.48663	   0.03881	   2.04185
    27	   1.35008	   1.49269	   0.04704	   2.12031
    28	   1.92463	   1.65371	   0.07401	   4.87911
    29	   1.35275	   1.49269	   0.04155	   2.13463
    30	   1.48959	   1.55812	   0.08712	   2.39047
    31	   1.28552	   1.49269	   0.02241	   2.26301
    32	   1.59134	   1.63692	   0.15176	   2.72616
    33	   1.30705	   1.48847	   0.04357	   2.13463
    34	   1.24278	   1.48663	   0.03545	   2.04718
    35	   1.24284	   1.48663	   0.01750	   2.04718
    36	   2.40961	   1.68995	   0.19258	   6.07020
    37	   1.68960	   1.58999	   0.03079	   3.35987
    38	   1.42790	   1.52345	   0.09414	   2.26301
    39	   1.24822	   1.48847	   0.00152	   2.04718
    40	   1.25039	   1.48847	   0.03079	   2.04718
    41	   1.34218	   1.48663	   0.05354	   2.04718
    42	   1.41223	   1.50507	   0.15257	   2.07413
    43	   1.51442	   1.58204	   0.06171	   2.66898
    44	   1.22015	   1.47716	   0.06284	   2.04185
    45	   0.99927	   1.33867	   0.00781	   2.03566
    46	   0.86780	   0.41363	   0.02609	   1.99754
    47	   0.54336	   0.21459	   0.03947	   1.75778
    48	   0.28872	   0.19936	   0.04084	   1.48388
    49	   0.25079	   0.21148	   0.07347	   0.72899
    50	   0.41614	   0.21290	   0.05080	   1.97199
    51	   0.18161	   0.19781	   0.00688	   0.24253
    52	   0.47952	   0.21931	   0.17069	   2.11904
    53	   0.20243	   0.20154	   0.01684	   0.29768
    54	   0.45574	   0.21290	   0.07984	   2.77072
    55	   0.18615	   0.19807	   0.06643	   0.24770
    56	   0.28665	   0.20932	   0.08082	   1.10886
    57	   0.22030	   0.20220	   0.03079	   0.47830
    58	   0.16440	   0.19727	   0.01441	   0.24233
    59	   0.17149	   0.19781	   0.00350	   0.24770
    60	   0.29562	   0.20837	   0.03079	   0.94651
    61	   0.32416	   0.21210	   0.04933	   1.34070
    62	   0.18468	   0.19911	   0.04759	   0.24770
    63	   0.33778	   0.21093	   0.03105	   1.73430
    64	   0.16845	   0.19911	   0.01379	   0.24770
    65	   0.18133	   0.19911	   0.03079	   0.24770
    66	   0.19234	   0.20154	   0.04463	   0.28216
    67	   0.20822	   0.20220	   0.01480	   0.81261
    68	   0.23934	   0.21148	   0.08364	   0.49374
    69	   0.29019	   0.21619	   0.16558	   0.94472
    70	   0.18938	   0.20154	   0.02450	   0.29795
    71	   0.24243	   0.21148	   0.03721	   0.50404
    72	   0.17985	   0.20231	   0.01870	   0.26626
    73	   0.22208	   0.20775	   0.03234	   0.56369
    74	   0.23449	   0.20775	   0.02878	   0.65901
    75	   0.16885	   0.19911	   0.00672	   0.24770
    76	   0.18090	   0.19911	   0.05944	   0.25548
    77	   0.24292	   0.20777	   0.04703	   0.80218
    78	   0.18773	   0.20231	   0.04076	   0.25548
    79	   0.22886	   0.21290	   0.05764	   0.44009
    80	   0.27431	   0.21290	   0.05448	   0.74987
    81	   0.26247	   0.21228	   0.06389	   1.03387
    82	   0.18404	   0.20220	   0.02550	   0.32049
    83	   0.22831	   0.20247	   0.03464	   0.40809
    84	   0.19158	   0.20247	   0.02948	   0.32411
    85	   0.21964	   0.20154	   0.01127	   0.85873
    86	   0.16938	   0.19911	   0.00400	   0.24253
    87	   0.17969	   0.19971	   0.01499	   0.24770
    88	   0.19712	   0.20247	   0.07819	   0.32565
    89	   0.22694	   0.20247	   0.04494	   0.56312
    90	   0.16578	   0.19781	   0.01311	   0.24770
    91	   0.26331	   0.21093	   0.08426	   0.77479
    92	   0.43812	   0.21619	   0.04552	   1.83408
    93	   0.19488	   0.20231	   0.03953	   0.28834
    94	   0.25696	   0.21459	   0.03079	   0.84694
    95	   0.27618	   0.21290	   0.09551	   0.68042
    96	   0.18032	   0.19781	   0.03549	   0.24770
    97	   0.18221	   0.19727	   0.02848	   0.24253
    98	   0.30788	   0.21459	   0.10142	   0.91436
    99	   0.33417	   0.21611	   0.16001	   1.11207
   100	   0.18345	   0.19936	   0.03463	   0.31824
   101	   0.29290	   0.21290	   0.07709	   0.83804
   102	   0.27663	   0.21459	   0.10973	   0.82371
   103	   0.41884	   0.21990	   0.11728	   1.67629
   104	   0.48791	   0.21867	   0.06580	   2.10123
   105	   0.21986	   0.20220	   0.01539	   0.82371
   106	   0.24301	   0.20514	   0.02167	   0.83776
   107	   0.29174	   0.21459	   0.03305	   0.84124
   108	   0.52686	   0.53174	   0.08462	   0.94800
