Loci	Mean_rho	Median	L95	U95
     0	1666.63858	1763.57780	 506.42255	2217.98690
     1	   4.53833	   6.15141	   0.11904	   8.32098
     2	   4.62109	   6.15141	   0.02057	   8.32098
     3	   4.53571	   6.15141	   0.03568	   8.32098
     4	   4.42004	   6.15141	   0.00327	   8.32098
     5	   4.64607	   6.15141	   0.05330	   8.32098
     6	   4.51858	   6.15141	   0.01720	   8.32098
     7	   4.79804	   6.15141	   0.06922	   8.32098
     8	   4.48019	   6.15141	   0.05596	   8.32098
     9	   4.58224	   6.15141	   0.18628	   8.32098
    10	   4.83928	   6.15141	   0.45217	   8.32098
    11	   4.55291	   6.15141	   0.11589	   8.32098
    12	   4.53985	   6.15141	   0.11288	   8.32098
    13	   4.40658	   6.15141	   0.00256	   8.32098
    14	   4.51891	   6.15141	   0.07650	   8.32098
    15	   4.76429	   6.15141	   0.06037	   8.32098
    16	   4.44201	   6.15141	   0.01938	   8.32098
    17	   4.55135	   6.15141	   0.04624	   8.32098
    18	   4.59446	   6.15141	   0.14377	   8.32098
    19	   5.38704	   6.50765	   0.53215	   8.32098
    20	   4.58358	   6.15141	   0.07973	   8.32098
    21	   4.69920	   6.15141	   0.15421	   8.32098
    22	   4.49202	   6.15141	   0.05596	   8.32098
    23	   4.58021	   6.15141	   0.03804	   8.32098
    24	   5.15583	   6.53027	   0.16198	   9.07420
    25	   4.58846	   6.15141	   0.17665	   8.32098
    26	   4.49878	   6.15141	   0.06029	   8.32098
    27	   4.69737	   6.15141	   0.17301	   8.32098
    28	   4.39828	   6.15141	   0.01954	   8.32098
    29	   4.61140	   6.15141	   0.06775	   8.32098
    30	   4.46383	   6.15141	   0.10866	   8.32098
    31	   5.05879	   6.37467	   0.48314	   8.32098
    32	   4.61155	   6.15141	   0.08207	   8.32098
    33	   4.67057	   6.15141	   0.03726	   8.32098
    34	   4.92891	   6.30422	   0.03276	   8.32098
    35	   4.77060	   6.15141	   0.05805	   8.32098
    36	   4.47358	   6.15141	   0.05130	   8.32098
    37	   4.86533	   6.50765	   0.07243	   8.46066
    38	   4.50731	   6.15141	   0.06298	   8.32098
    39	   4.83281	   6.15141	   0.04624	   8.32098
    40	   3.91985	   3.10655	   0.27578	   7.76052
    41	   3.97461	   3.66393	   0.12057	   9.24229
    42	   2.33572	   0.77707	   0.02683	   7.40856
    43	   1.04565	   0.42534	   0.20758	   3.42504
    44	   0.75166	   0.41379	   0.06788	   2.89122
    45	   0.77367	   0.42059	   0.20803	   2.76309
    46	   0.54391	   0.40229	   0.10453	   2.27872
    47	   0.67955	   0.41784	   0.10945	   2.48475
    48	   0.40766	   0.39211	   0.02341	   0.83413
    49	   0.99923	   0.41424	   0.25964	   6.73213
    50	   0.38071	   0.38942	   0.00329	   1.28175
