
Sliding windows analysis - rho for total gene = 0.04624 per bp/kb

SNP_L	 SNP_R	 #SNPs	4Ner/bp/kb	 CLR	  Tajima's D

     63.03	      0.00	   0	  -0.00000	      0.00	      -nan
     63.03	      0.00	   0	  -0.00000	      0.00	      -nan
     63.03	      0.00	   0	  -0.00000	      0.00	      -nan
     69.58	     63.76	   0	  -6.87049	     10.84	      -nan
     92.33	     83.18	   0	  -2.73015	    120.11	      -nan
    111.87	    108.03	   0	  -6.24512	    336.09	      -nan
    132.08	    132.75	   2	  34.07407	    425.01	    -1.011
    153.26	    153.42	   3	 123.45679	    635.18	    -0.407
    180.00	    174.13	   0	  -3.06487	    705.21	      -nan
    198.18 -     198.18 : no data
    221.30	    217.80	   0	  -4.28082	    876.73	      -nan
    245.20	    234.82	   0	  -1.15663	   1176.65	      -nan
    262.52 -     262.52 : no data
    284.50 -     284.50 : no data
    312.05	    302.25	   0	  -1.32653	   1347.38	      -nan
    329.21	    329.21	   2	2166.66667	   1356.20	    -0.055
    350.78	    351.01	   3	  56.52174	   1437.00	     0.586
    372.08	    372.13	   3	 276.59574	   1560.49	     2.157
    394.37	    394.64	   2	  47.97048	   1658.73	    -1.464
    418.88	    412.08	   0	  -1.76497	   1788.09	      -nan
    437.49	    437.94	   2	  26.54867	   1810.97	    -1.024
    459.79 -     459.79 : no data
    481.33 -     481.33 : no data
    506.29	    500.87	   0	  -1.84638	   1977.32	      -nan
    529.42	    522.30	   0	  -1.40449	   1927.02	      -nan
    547.47 -     547.47 : no data
    571.30	    561.37	   0	  -0.90680	   1936.93	      -nan
    591.12 -     591.12 : no data
    614.88	    607.98	   0	  -1.30378	   1953.46	      -nan
    633.43 -     633.43 : no data
    655.92 -     655.92 : no data
    679.48	    670.47	   0	  -0.88731	   2041.58	      -nan
    701.15	    698.12	   0	  -2.64288	   2134.33	      -nan
    721.35 -     721.35 : no data
    742.80	    742.93	   2	  62.01550	   2321.12	    -1.464
    785.08	    763.63	   0	  -0.23310	   2521.19	      -nan
    786.22 -     786.22 : no data
    809.40 -     809.40 : no data
    831.24 -     831.24 : no data
    852.77	    853.17	   2	  10.23018	   2757.75	     0.362
    877.94	    869.68	   0	  -0.36315	   2799.76	      -nan
    895.05	    895.41	   2	   8.15217	   2902.89	     2.058
    920.62	    916.04	   0	  -0.43582	   2892.01	      -nan
    944.48	    938.34	   0	  -0.32605	   2970.16	      -nan
    966.56	    956.08	   0	  -0.19086	   2941.33	      -nan
    982.77	    983.38	   2	   3.28407	   2954.61	    -0.871
   1008.55	   1003.75	   0	  -0.41675	   2826.16	      -nan
   1032.27	   1020.47	   0	  -0.08474	   2911.65	      -nan
   1048.05	   1049.13	   2	   1.85185	   2953.92	    -1.311
   1070.76 -    1070.76 : no data
   1091.73 -    1091.73 : no data
   1114.49 -    1114.49 : no data
   1135.53	   1136.61	   2	   0.92678	   2713.01	    -1.464
   1156.85 -    1156.85 : no data
   1181.81	   1177.72	   0	  -0.00000	   2758.72	      -nan
   1205.03	   1191.36	   0	  -0.00000	   2705.41	      -nan
   1224.15 -    1224.15 : no data
   1247.97	   1242.83	   0	  -0.00000	   2707.85	      -nan
   1273.65	   1265.47	   0	  -0.00000	   2740.94	      -nan
   1289.21 -    1289.21 : no data
